Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.9099999999999999,symmetric,0.40543241120022216
100% Corpus,3,symmetric,0.01,0.4253506255322604
100% Corpus,3,symmetric,0.31,0.411099758156608
100% Corpus,3,symmetric,0.61,0.43056049332021545
100% Corpus,3,symmetric,0.9099999999999999,0.4674807183720797
100% Corpus,3,symmetric,symmetric,0.4048326435425527
100% Corpus,3,asymmetric,0.01,0.4650725891423575
100% Corpus,3,asymmetric,0.31,0.48269795710129987
100% Corpus,3,asymmetric,0.61,0.4531450123963822
100% Corpus,3,asymmetric,0.9099999999999999,0.4178027060014669
100% Corpus,3,asymmetric,symmetric,0.41343865045970163
100% Corpus,4,0.01,0.01,0.44773884398495367
100% Corpus,4,0.01,0.31,0.49984147586958244
100% Corpus,4,0.01,0.61,0.4529298161049595
100% Corpus,4,0.01,0.9099999999999999,0.505015271856525
100% Corpus,4,0.01,symmetric,0.5123466916914824
100% Corpus,4,0.31,0.01,0.48309709365016895
100% Corpus,4,0.31,0.31,0.44471971819968276
100% Corpus,4,0.31,0.61,0.4592816486816856
100% Corpus,4,0.31,0.9099999999999999,0.4848322970543951
100% Corpus,4,0.31,symmetric,0.5023718070525082
100% Corpus,4,0.61,0.01,0.43104778373654307
100% Corpus,4,0.61,0.31,0.47687611656618534
100% Corpus,4,0.61,0.61,0.4737046008081234
100% Corpus,4,0.61,0.9099999999999999,0.5185394578874807
100% Corpus,4,0.61,symmetric,0.5031056368141947
100% Corpus,4,0.9099999999999999,0.01,0.5436721196310313
100% Corpus,4,0.9099999999999999,0.31,0.4798862450962763
100% Corpus,4,0.9099999999999999,0.61,0.4433341660167126
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.48561269146331626
100% Corpus,4,0.9099999999999999,symmetric,0.45460157992924255
100% Corpus,4,symmetric,0.01,0.4606464027355964
100% Corpus,4,symmetric,0.31,0.5025212286216324
100% Corpus,4,symmetric,0.61,0.5135243762629587
100% Corpus,4,symmetric,0.9099999999999999,0.506183043299027
100% Corpus,4,symmetric,symmetric,0.47767728647861957
100% Corpus,4,asymmetric,0.01,0.471889543082643
100% Corpus,4,asymmetric,0.31,0.45054705941576184
100% Corpus,4,asymmetric,0.61,0.4578224357871562
100% Corpus,4,asymmetric,0.9099999999999999,0.45447986816546015
100% Corpus,4,asymmetric,symmetric,0.4732605362856517
100% Corpus,5,0.01,0.01,0.43630944552936013
100% Corpus,5,0.01,0.31,0.4742904160065514
100% Corpus,5,0.01,0.61,0.4725305405352291
100% Corpus,5,0.01,0.9099999999999999,0.5088721357274434
100% Corpus,5,0.01,symmetric,0.47532416156393
100% Corpus,5,0.31,0.01,0.42826774824429065
100% Corpus,5,0.31,0.31,0.46906316108482204
100% Corpus,5,0.31,0.61,0.48372058169447174
100% Corpus,5,0.31,0.9099999999999999,0.4869427577025397
100% Corpus,5,0.31,symmetric,0.48875474100166044
100% Corpus,5,0.61,0.01,0.4390226809201345
100% Corpus,5,0.61,0.31,0.46623182901298676
100% Corpus,5,0.61,0.61,0.48522723322447314
100% Corpus,5,0.61,0.9099999999999999,0.47246546553050084
100% Corpus,5,0.61,symmetric,0.4430006276909543
100% Corpus,5,0.9099999999999999,0.01,0.4491536092341854
100% Corpus,5,0.9099999999999999,0.31,0.4799368461630137
100% Corpus,5,0.9099999999999999,0.61,0.47460344147223205
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.5038037505319696
100% Corpus,5,0.9099999999999999,symmetric,0.5112582696680644
100% Corpus,5,symmetric,0.01,0.43533979707130477
100% Corpus,5,symmetric,0.31,0.5028583611196622
100% Corpus,5,symmetric,0.61,0.5196924202875446
100% Corpus,5,symmetric,0.9099999999999999,0.4603887747167087
100% Corpus,5,symmetric,symmetric,0.4673602089801113
100% Corpus,5,asymmetric,0.01,0.47535132663533125
100% Corpus,5,asymmetric,0.31,0.4283116212887058
100% Corpus,5,asymmetric,0.61,0.4620313985749739
100% Corpus,5,asymmetric,0.9099999999999999,0.4905090987541471
100% Corpus,5,asymmetric,symmetric,0.5617718841532395
100% Corpus,6,0.01,0.01,0.5269573225995952
100% Corpus,6,0.01,0.31,0.4552304480337151
100% Corpus,6,0.01,0.61,0.42573546478753
100% Corpus,6,0.01,0.9099999999999999,0.43348901272083046
100% Corpus,6,0.01,symmetric,0.45546431422275285
100% Corpus,6,0.31,0.01,0.42486538639284327
100% Corpus,6,0.31,0.31,0.44070482122402227
100% Corpus,6,0.31,0.61,0.512819196736266
100% Corpus,6,0.31,0.9099999999999999,0.44817585272967037
100% Corpus,6,0.31,symmetric,0.4562012956121928
100% Corpus,6,0.61,0.01,0.4461377068611183
100% Corpus,6,0.61,0.31,0.44332841073080503
100% Corpus,6,0.61,0.61,0.4958232916880032
100% Corpus,6,0.61,0.9099999999999999,0.503890161425125
100% Corpus,6,0.61,symmetric,0.45834293736070925
100% Corpus,6,0.9099999999999999,0.01,0.42487927432507905
100% Corpus,6,0.9099999999999999,0.31,0.4798117508751503
100% Corpus,6,0.9099999999999999,0.61,0.4904838783552516
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.4985694115137283
100% Corpus,6,0.9099999999999999,symmetric,0.44546666350819364
100% Corpus,6,symmetric,0.01,0.48806641090219943
100% Corpus,6,symmetric,0.31,0.46039505237518336
100% Corpus,6,symmetric,0.61,0.471701415074618
100% Corpus,6,symmetric,0.9099999999999999,0.45080906441458074
100% Corpus,6,symmetric,symmetric,0.4525669654291146
100% Corpus,6,asymmetric,0.01,0.442294196297964
100% Corpus,6,asymmetric,0.31,0.47150304640515533
100% Corpus,6,asymmetric,0.61,0.43675778894242684
100% Corpus,6,asymmetric,0.9099999999999999,0.45140881365593427
100% Corpus,6,asymmetric,symmetric,0.46447881347646375
100% Corpus,7,0.01,0.01,0.4732758843366679
100% Corpus,7,0.01,0.31,0.5438951544519606
100% Corpus,7,0.01,0.61,0.4851695490962139
100% Corpus,7,0.01,0.9099999999999999,0.4279789769630984
100% Corpus,7,0.01,symmetric,0.4932862721691249
100% Corpus,7,0.31,0.01,0.48002969791367894
100% Corpus,7,0.31,0.31,0.473904081767905
100% Corpus,7,0.31,0.61,0.4461371366988424
100% Corpus,7,0.31,0.9099999999999999,0.47655928305016254
100% Corpus,7,0.31,symmetric,0.5430472891949646
100% Corpus,7,0.61,0.01,0.47341343341410586
100% Corpus,7,0.61,0.31,0.4892102633989432
100% Corpus,7,0.61,0.61,0.5478840493717035
100% Corpus,7,0.61,0.9099999999999999,0.5057626692188941
100% Corpus,7,0.61,symmetric,0.4823752331499773
100% Corpus,7,0.9099999999999999,0.01,0.4936985322851018
100% Corpus,7,0.9099999999999999,0.31,0.5163524303611801
100% Corpus,7,0.9099999999999999,0.61,0.551349722727154
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.523442012219558
100% Corpus,7,0.9099999999999999,symmetric,0.5242040456084468
100% Corpus,7,symmetric,0.01,0.48863162107086605
100% Corpus,7,symmetric,0.31,0.4821157910849535
100% Corpus,7,symmetric,0.61,0.5046579257116888
100% Corpus,7,symmetric,0.9099999999999999,0.46203694453348026
100% Corpus,7,symmetric,symmetric,0.5022638835235532
100% Corpus,7,asymmetric,0.01,0.4642021992723522
100% Corpus,7,asymmetric,0.31,0.5387138233023034
100% Corpus,7,asymmetric,0.61,0.4363133223760164
100% Corpus,7,asymmetric,0.9099999999999999,0.5052393565687892
100% Corpus,7,asymmetric,symmetric,0.4970168200326705
100% Corpus,8,0.01,0.01,0.45811803392010236
100% Corpus,8,0.01,0.31,0.49100365623173253
100% Corpus,8,0.01,0.61,0.46010814678415657
100% Corpus,8,0.01,0.9099999999999999,0.4730147338329467
100% Corpus,8,0.01,symmetric,0.46940147259201814
100% Corpus,8,0.31,0.01,0.43503778287451145
100% Corpus,8,0.31,0.31,0.5120354683998635
100% Corpus,8,0.31,0.61,0.4954929660238284
100% Corpus,8,0.31,0.9099999999999999,0.4883951347619255
100% Corpus,8,0.31,symmetric,0.45711826849676107
100% Corpus,8,0.61,0.01,0.47594270906916647
100% Corpus,8,0.61,0.31,0.5312696575401141
100% Corpus,8,0.61,0.61,0.4577930953381423
100% Corpus,8,0.61,0.9099999999999999,0.4639349870095695
100% Corpus,8,0.61,symmetric,0.44044358033533104
100% Corpus,8,0.9099999999999999,0.01,0.47699485146359866
100% Corpus,8,0.9099999999999999,0.31,0.5230474006336414
100% Corpus,8,0.9099999999999999,0.61,0.5203530516221028
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.5206620280533147
100% Corpus,8,0.9099999999999999,symmetric,0.509640470789068
100% Corpus,8,symmetric,0.01,0.43652060318152675
100% Corpus,8,symmetric,0.31,0.5044533787006512
100% Corpus,8,symmetric,0.61,0.5343295978667981
100% Corpus,8,symmetric,0.9099999999999999,0.435723356880052
100% Corpus,8,symmetric,symmetric,0.43083859921166423
100% Corpus,8,asymmetric,0.01,0.4290303741434751
100% Corpus,8,asymmetric,0.31,0.4373318405216372
100% Corpus,8,asymmetric,0.61,0.46065829804358455
100% Corpus,8,asymmetric,0.9099999999999999,0.539648443153551
100% Corpus,8,asymmetric,symmetric,0.45765083993920186
100% Corpus,9,0.01,0.01,0.4530006439521546
100% Corpus,9,0.01,0.31,0.4783981152794381
100% Corpus,9,0.01,0.61,0.44809410924803156
100% Corpus,9,0.01,0.9099999999999999,0.46767119616246855
100% Corpus,9,0.01,symmetric,0.4323794706239586
100% Corpus,9,0.31,0.01,0.41380572979083585
100% Corpus,9,0.31,0.31,0.49585202095012765
100% Corpus,9,0.31,0.61,0.4636919405273115
